2012-08-31T17:01:44.029948Z | source | DEBUG | Event: {'size': 413, 'timestamp': 1346432504.029787, 'basename': '839', 'uri': 'http://localhost:8888/resources/839', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.029787Z', 'changetype': 'CREATED', 'md5': 'Ra+t+yIYOjt7zkri2/pB4g=='}
2012-08-31T17:01:44.030190Z | source | DEBUG | Event: {'size': 557, 'timestamp': 1346432504.030019, 'basename': '840', 'uri': 'http://localhost:8888/resources/840', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.030019Z', 'changetype': 'CREATED', 'md5': 'DSJ7wVJ7H0M4A2JLAO0Q0w=='}
2012-08-31T17:01:44.030426Z | source | DEBUG | Event: {'size': 393, 'timestamp': 1346432504.030262, 'basename': '841', 'uri': 'http://localhost:8888/resources/841', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.030262Z', 'changetype': 'CREATED', 'md5': 'Rrd5td97DuAjcFPk5kFMgA=='}
2012-08-31T17:01:44.030678Z | source | DEBUG | Event: {'size': 926, 'timestamp': 1346432504.030497, 'basename': '842', 'uri': 'http://localhost:8888/resources/842', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.030497Z', 'changetype': 'CREATED', 'md5': '6C0uxWYC1mTQC868TzjetA=='}
2012-08-31T17:01:44.030898Z | source | DEBUG | Event: {'size': 55, 'timestamp': 1346432504.030754, 'basename': '843', 'uri': 'http://localhost:8888/resources/843', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.030754Z', 'changetype': 'CREATED', 'md5': 'YTMobt+0V8HVQbVYHzPbfw=='}
2012-08-31T17:01:44.031152Z | source | DEBUG | Event: {'size': 766, 'timestamp': 1346432504.030979, 'basename': '844', 'uri': 'http://localhost:8888/resources/844', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.030979Z', 'changetype': 'CREATED', 'md5': '52anmeauBwnvPID3IEr8QA=='}
2012-08-31T17:01:44.031385Z | source | DEBUG | Event: {'size': 173, 'timestamp': 1346432504.031232, 'basename': '845', 'uri': 'http://localhost:8888/resources/845', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.031232Z', 'changetype': 'CREATED', 'md5': 'nHmhMA5zpx7JYe7ESC6yJA=='}
2012-08-31T17:01:44.031636Z | source | DEBUG | Event: {'size': 928, 'timestamp': 1346432504.031458, 'basename': '846', 'uri': 'http://localhost:8888/resources/846', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.031458Z', 'changetype': 'CREATED', 'md5': 'kd4mdNW/fkWXBjjlfvvaww=='}
2012-08-31T17:01:44.031884Z | source | DEBUG | Event: {'size': 835, 'timestamp': 1346432504.031708, 'basename': '847', 'uri': 'http://localhost:8888/resources/847', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.031708Z', 'changetype': 'CREATED', 'md5': 'ZKYq662juG/Bv/C4n2ctsw=='}
2012-08-31T17:01:44.032132Z | source | DEBUG | Event: {'size': 833, 'timestamp': 1346432504.031957, 'basename': '848', 'uri': 'http://localhost:8888/resources/848', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.031957Z', 'changetype': 'CREATED', 'md5': 'jV//+8WiBvCmjLj4N0J/gQ=='}
2012-08-31T17:01:44.032376Z | source | DEBUG | Event: {'size': 442, 'timestamp': 1346432504.032213, 'basename': '849', 'uri': 'http://localhost:8888/resources/849', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.032213Z', 'changetype': 'CREATED', 'md5': 'X/FkDmAxW1c6glkn1uLpdA=='}
2012-08-31T17:01:44.032624Z | source | DEBUG | Event: {'size': 803, 'timestamp': 1346432504.032449, 'basename': '850', 'uri': 'http://localhost:8888/resources/850', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.032449Z', 'changetype': 'CREATED', 'md5': 'Vil+RWljjNaE/oCF7UweVA=='}
2012-08-31T17:01:44.032850Z | source | DEBUG | Event: {'size': 37, 'timestamp': 1346432504.032705, 'basename': '851', 'uri': 'http://localhost:8888/resources/851', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.032705Z', 'changetype': 'CREATED', 'md5': 'ESsBDMUgfEdzkMPlhnw2hw=='}
2012-08-31T17:01:44.033097Z | source | DEBUG | Event: {'size': 863, 'timestamp': 1346432504.032921, 'basename': '852', 'uri': 'http://localhost:8888/resources/852', 'changeid': None, 'file': None, 'lastmod': '2012-08-31T17:01:44.032921Z', 'changetype': 'CREATED', 'md5': 'JW9A7BVvw0bqy1SJt9Qayg=='}
