2012-09-05T20:09:35.085225Z | source | DEBUG | Event: {'size': 706, 'timestamp': 1346875775.085105, 'basename': '964', 'uri': 'http://localhost:8888/resources/964', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.085105Z', 'changetype': 'CREATED', 'md5': 'CrOZeuCpQNS2Tm35KXQ8Ag=='}
2012-09-05T20:09:35.085378Z | source | DEBUG | Event: {'size': 180, 'timestamp': 1346875775.085275, 'basename': '965', 'uri': 'http://localhost:8888/resources/965', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.085275Z', 'changetype': 'CREATED', 'md5': 'DfSi2pXfRbmjqd9JMJpFGw=='}
2012-09-05T20:09:35.085528Z | source | DEBUG | Event: {'size': 103, 'timestamp': 1346875775.085427, 'basename': '966', 'uri': 'http://localhost:8888/resources/966', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.085427Z', 'changetype': 'CREATED', 'md5': 'g8YsXGZXWsBnBjnGaaXVEw=='}
2012-09-05T20:09:35.085686Z | source | DEBUG | Event: {'size': 328, 'timestamp': 1346875775.085577, 'basename': '967', 'uri': 'http://localhost:8888/resources/967', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.085577Z', 'changetype': 'CREATED', 'md5': 'LfdoeeVgO0yfMUyPc7zq6A=='}
2012-09-05T20:09:35.085859Z | source | DEBUG | Event: {'size': 904, 'timestamp': 1346875775.085734, 'basename': '968', 'uri': 'http://localhost:8888/resources/968', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.085734Z', 'changetype': 'CREATED', 'md5': 'DA7aRe1jv5LcFA3HcFvlYg=='}
2012-09-05T20:09:35.086025Z | source | DEBUG | Event: {'size': 624, 'timestamp': 1346875775.085909, 'basename': '969', 'uri': 'http://localhost:8888/resources/969', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.085909Z', 'changetype': 'CREATED', 'md5': 'jopTYGq0GXfLTSNSthqB+g=='}
2012-09-05T20:09:35.086191Z | source | DEBUG | Event: {'size': 442, 'timestamp': 1346875775.086078, 'basename': '970', 'uri': 'http://localhost:8888/resources/970', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.086078Z', 'changetype': 'CREATED', 'md5': '4gTwq3FG4z2H4YVLUajBHA=='}
2012-09-05T20:09:35.086344Z | source | DEBUG | Event: {'size': 176, 'timestamp': 1346875775.08624, 'basename': '971', 'uri': 'http://localhost:8888/resources/971', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.086240Z', 'changetype': 'CREATED', 'md5': 'v+LOayD8IV4njBQFaT4a/A=='}
2012-09-05T20:09:35.086512Z | source | DEBUG | Event: {'size': 659, 'timestamp': 1346875775.086393, 'basename': '972', 'uri': 'http://localhost:8888/resources/972', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.086393Z', 'changetype': 'CREATED', 'md5': 'uvJlfTBKYdUo6Bt8rDIEBg=='}
2012-09-05T20:09:35.086674Z | source | DEBUG | Event: {'size': 388, 'timestamp': 1346875775.086562, 'basename': '973', 'uri': 'http://localhost:8888/resources/973', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.086562Z', 'changetype': 'CREATED', 'md5': '3aTC5auAX7TVjnk6CeWhNQ=='}
