2012-09-05T20:11:24.204739Z | client | INFO | created: http://localhost:8888/resources/106 -> /tmp/sm/resources/106
2012-09-05T20:11:24.206922Z | client | DEBUG | Event: {'size': 471, 'timestamp': 1346875774.937926, 'basename': '106', 'uri': 'http://localhost:8888/resources/106', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.937926Z', 'changetype': 'CREATED', 'md5': '3I79a3HEuPUsmlnPjU2WOg=='}
2012-09-05T20:11:24.207037Z | client | INFO | created: http://localhost:8888/resources/107 -> /tmp/sm/resources/107
2012-09-05T20:11:24.209610Z | client | DEBUG | Event: {'size': 412, 'timestamp': 1346875774.938109, 'basename': '107', 'uri': 'http://localhost:8888/resources/107', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.938109Z', 'changetype': 'CREATED', 'md5': '4t1GtvWQejxQcHW6LCalAA=='}
2012-09-05T20:11:24.209754Z | client | INFO | created: http://localhost:8888/resources/108 -> /tmp/sm/resources/108
2012-09-05T20:11:24.212218Z | client | DEBUG | Event: {'size': 44, 'timestamp': 1346875774.938272, 'basename': '108', 'uri': 'http://localhost:8888/resources/108', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.938272Z', 'changetype': 'CREATED', 'md5': 'uY96x6beSY9EQgIQykeCmA=='}
2012-09-05T20:11:24.212364Z | client | INFO | created: http://localhost:8888/resources/109 -> /tmp/sm/resources/109
2012-09-05T20:11:24.215576Z | client | DEBUG | Event: {'size': 971, 'timestamp': 1346875774.938422, 'basename': '109', 'uri': 'http://localhost:8888/resources/109', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.938422Z', 'changetype': 'CREATED', 'md5': 'RfMEeyqYuGm+A2WZfgqJ8A=='}
2012-09-05T20:11:24.215762Z | client | INFO | created: http://localhost:8888/resources/11 -> /tmp/sm/resources/11
2012-09-05T20:11:24.218982Z | client | DEBUG | Event: {'size': 458, 'timestamp': 1346875774.919355, 'basename': '11', 'uri': 'http://localhost:8888/resources/11', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.919355Z', 'changetype': 'CREATED', 'md5': 'SiICnURr6FxLzCp8hGNFZw=='}
2012-09-05T20:11:24.219138Z | client | INFO | created: http://localhost:8888/resources/110 -> /tmp/sm/resources/110
2012-09-05T20:11:24.221691Z | client | DEBUG | Event: {'size': 201, 'timestamp': 1346875774.938611, 'basename': '110', 'uri': 'http://localhost:8888/resources/110', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.938611Z', 'changetype': 'CREATED', 'md5': 'zqe9vOnkQSRtzo0stmbqMg=='}
2012-09-05T20:11:24.221839Z | client | INFO | created: http://localhost:8888/resources/111 -> /tmp/sm/resources/111
2012-09-05T20:11:24.224393Z | client | DEBUG | Event: {'size': 536, 'timestamp': 1346875774.938768, 'basename': '111', 'uri': 'http://localhost:8888/resources/111', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.938768Z', 'changetype': 'CREATED', 'md5': 'aJJjVxfjkoEGHYa27EfJnA=='}
2012-09-05T20:11:24.224561Z | client | INFO | created: http://localhost:8888/resources/112 -> /tmp/sm/resources/112
2012-09-05T20:11:24.228264Z | client | DEBUG | Event: {'size': 471, 'timestamp': 1346875774.938935, 'basename': '112', 'uri': 'http://localhost:8888/resources/112', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.938935Z', 'changetype': 'CREATED', 'md5': '8WJcwBvfCBTgELGf3QHd5w=='}
2012-09-05T20:11:24.228437Z | client | INFO | created: http://localhost:8888/resources/113 -> /tmp/sm/resources/113
2012-09-05T20:11:24.231396Z | client | DEBUG | Event: {'size': 272, 'timestamp': 1346875774.939116, 'basename': '113', 'uri': 'http://localhost:8888/resources/113', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.939116Z', 'changetype': 'CREATED', 'md5': 'bfG/JHb70TLgd6lqSHrcWA=='}
2012-09-05T20:11:24.231542Z | client | INFO | created: http://localhost:8888/resources/114 -> /tmp/sm/resources/114
2012-09-05T20:11:24.233920Z | client | DEBUG | Event: {'size': 647, 'timestamp': 1346875774.939294, 'basename': '114', 'uri': 'http://localhost:8888/resources/114', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.939294Z', 'changetype': 'CREATED', 'md5': 'dULu4GG3qRspmUBR3Vmtuw=='}
2012-09-05T20:11:24.234040Z | client | INFO | created: http://localhost:8888/resources/115 -> /tmp/sm/resources/115
2012-09-05T20:11:24.236375Z | client | DEBUG | Event: {'size': 203, 'timestamp': 1346875774.939466, 'basename': '115', 'uri': 'http://localhost:8888/resources/115', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.939466Z', 'changetype': 'CREATED', 'md5': 'IP6Jtq+VoAhkrvG8DXMVOw=='}
2012-09-05T20:11:24.236497Z | client | INFO | created: http://localhost:8888/resources/116 -> /tmp/sm/resources/116
2012-09-05T20:11:24.239022Z | client | DEBUG | Event: {'size': 518, 'timestamp': 1346875774.939623, 'basename': '116', 'uri': 'http://localhost:8888/resources/116', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.939623Z', 'changetype': 'CREATED', 'md5': 'bLmdBgKc+RIm1cVaBq4fgg=='}
2012-09-05T20:11:24.239197Z | client | INFO | created: http://localhost:8888/resources/117 -> /tmp/sm/resources/117
2012-09-05T20:11:24.242383Z | client | DEBUG | Event: {'size': 384, 'timestamp': 1346875774.939788, 'basename': '117', 'uri': 'http://localhost:8888/resources/117', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.939788Z', 'changetype': 'CREATED', 'md5': 'UyB2TDnFNN4yQyndR5R0ng=='}
2012-09-05T20:11:24.242566Z | client | INFO | created: http://localhost:8888/resources/118 -> /tmp/sm/resources/118
2012-09-05T20:11:24.245617Z | client | DEBUG | Event: {'size': 57, 'timestamp': 1346875774.939949, 'basename': '118', 'uri': 'http://localhost:8888/resources/118', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.939949Z', 'changetype': 'CREATED', 'md5': 'nvRaTTLOgh28SXAjDR1AyQ=='}
2012-09-05T20:11:24.245772Z | client | INFO | created: http://localhost:8888/resources/119 -> /tmp/sm/resources/119
2012-09-05T20:11:24.248115Z | client | DEBUG | Event: {'size': 270, 'timestamp': 1346875774.940102, 'basename': '119', 'uri': 'http://localhost:8888/resources/119', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.940102Z', 'changetype': 'CREATED', 'md5': '/C7HbN1lYju4xsw4/H/VSA=='}
2012-09-05T20:11:24.248224Z | client | INFO | created: http://localhost:8888/resources/12 -> /tmp/sm/resources/12
2012-09-05T20:11:24.250895Z | client | DEBUG | Event: {'size': 326, 'timestamp': 1346875774.919613, 'basename': '12', 'uri': 'http://localhost:8888/resources/12', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.919613Z', 'changetype': 'CREATED', 'md5': 'L2hEOLWbAvlsKDjb1JD8+g=='}
2012-09-05T20:11:24.251076Z | client | INFO | created: http://localhost:8888/resources/120 -> /tmp/sm/resources/120
2012-09-05T20:11:24.254275Z | client | DEBUG | Event: {'size': 548, 'timestamp': 1346875774.94026, 'basename': '120', 'uri': 'http://localhost:8888/resources/120', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.940260Z', 'changetype': 'CREATED', 'md5': '9c4JQihnPpqd5VJh6FwHRw=='}
2012-09-05T20:11:24.254476Z | client | INFO | created: http://localhost:8888/resources/121 -> /tmp/sm/resources/121
2012-09-05T20:11:24.257211Z | client | DEBUG | Event: {'size': 199, 'timestamp': 1346875774.940428, 'basename': '121', 'uri': 'http://localhost:8888/resources/121', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.940428Z', 'changetype': 'CREATED', 'md5': 'NTZ7MbqjsmglqKwr6ulHXA=='}
2012-09-05T20:11:24.257360Z | client | INFO | created: http://localhost:8888/resources/122 -> /tmp/sm/resources/122
2012-09-05T20:11:24.259871Z | client | DEBUG | Event: {'size': 261, 'timestamp': 1346875774.940588, 'basename': '122', 'uri': 'http://localhost:8888/resources/122', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.940588Z', 'changetype': 'CREATED', 'md5': '0SpybNI2flRE2sP/XyimCA=='}
2012-09-05T20:11:24.260018Z | client | INFO | created: http://localhost:8888/resources/123 -> /tmp/sm/resources/123
2012-09-05T20:11:24.263188Z | client | DEBUG | Event: {'size': 674, 'timestamp': 1346875774.940745, 'basename': '123', 'uri': 'http://localhost:8888/resources/123', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.940745Z', 'changetype': 'CREATED', 'md5': 'X3rnln4pUrGu7Toob3xuwA=='}
2012-09-05T20:11:24.263362Z | client | INFO | created: http://localhost:8888/resources/124 -> /tmp/sm/resources/124
2012-09-05T20:11:24.266395Z | client | DEBUG | Event: {'size': 199, 'timestamp': 1346875819.196711, 'basename': '124', 'uri': 'http://localhost:8888/resources/124', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:10:19.196711Z', 'changetype': 'CREATED', 'md5': 'f8mjktlZxz9IF31vFdd4uA=='}
2012-09-05T20:11:24.266553Z | client | INFO | created: http://localhost:8888/resources/125 -> /tmp/sm/resources/125
2012-09-05T20:11:24.268892Z | client | DEBUG | Event: {'size': 416, 'timestamp': 1346875774.941082, 'basename': '125', 'uri': 'http://localhost:8888/resources/125', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.941082Z', 'changetype': 'CREATED', 'md5': 'VLjGvFjeVx8Hs7wOe8Nwtg=='}
2012-09-05T20:11:24.269000Z | client | INFO | created: http://localhost:8888/resources/126 -> /tmp/sm/resources/126
2012-09-05T20:11:24.271196Z | client | DEBUG | Event: {'size': 696, 'timestamp': 1346875774.941245, 'basename': '126', 'uri': 'http://localhost:8888/resources/126', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.941245Z', 'changetype': 'CREATED', 'md5': 'VgTXAnu/efXkqveUc5qBSA=='}
2012-09-05T20:11:24.271305Z | client | INFO | created: http://localhost:8888/resources/127 -> /tmp/sm/resources/127
2012-09-05T20:11:24.273763Z | client | DEBUG | Event: {'size': 336, 'timestamp': 1346875774.941415, 'basename': '127', 'uri': 'http://localhost:8888/resources/127', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.941415Z', 'changetype': 'CREATED', 'md5': 'wcuJh/SH59jMqPfqz6Lv5A=='}
2012-09-05T20:11:24.273886Z | client | INFO | created: http://localhost:8888/resources/128 -> /tmp/sm/resources/128
2012-09-05T20:11:24.277410Z | client | DEBUG | Event: {'size': 838, 'timestamp': 1346875774.941574, 'basename': '128', 'uri': 'http://localhost:8888/resources/128', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.941574Z', 'changetype': 'CREATED', 'md5': '0P/GJAztsoreHh4Ubfkbuw=='}
2012-09-05T20:11:24.277586Z | client | INFO | created: http://localhost:8888/resources/129 -> /tmp/sm/resources/129
2012-09-05T20:11:24.280556Z | client | DEBUG | Event: {'size': 737, 'timestamp': 1346875774.941749, 'basename': '129', 'uri': 'http://localhost:8888/resources/129', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.941749Z', 'changetype': 'CREATED', 'md5': 'om6+qzP2BdUMeOKVUZrhwA=='}
2012-09-05T20:11:24.280676Z | client | INFO | created: http://localhost:8888/resources/13 -> /tmp/sm/resources/13
2012-09-05T20:11:24.282904Z | client | DEBUG | Event: {'size': 69, 'timestamp': 1346875774.919867, 'basename': '13', 'uri': 'http://localhost:8888/resources/13', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.919867Z', 'changetype': 'CREATED', 'md5': 'h5WHHpvoQ5EpkI9IGs1ABg=='}
2012-09-05T20:11:24.283009Z | client | INFO | created: http://localhost:8888/resources/130 -> /tmp/sm/resources/130
2012-09-05T20:11:24.285755Z | client | DEBUG | Event: {'size': 946, 'timestamp': 1346875774.94192, 'basename': '130', 'uri': 'http://localhost:8888/resources/130', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.941920Z', 'changetype': 'CREATED', 'md5': 'V1ldTgfi/UxwQAn1uK2pVA=='}
2012-09-05T20:11:24.285927Z | client | INFO | created: http://localhost:8888/resources/131 -> /tmp/sm/resources/131
2012-09-05T20:11:24.289447Z | client | DEBUG | Event: {'size': 331, 'timestamp': 1346875774.942097, 'basename': '131', 'uri': 'http://localhost:8888/resources/131', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.942097Z', 'changetype': 'CREATED', 'md5': '8miRu8xSg8GkmGPvvz00Wg=='}
2012-09-05T20:11:24.289643Z | client | INFO | created: http://localhost:8888/resources/132 -> /tmp/sm/resources/132
2012-09-05T20:11:24.292118Z | client | DEBUG | Event: {'size': 472, 'timestamp': 1346875774.942256, 'basename': '132', 'uri': 'http://localhost:8888/resources/132', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.942256Z', 'changetype': 'CREATED', 'md5': 'BnJO1mlFPp9xGzj9ZTS8kQ=='}
2012-09-05T20:11:24.292248Z | client | INFO | created: http://localhost:8888/resources/133 -> /tmp/sm/resources/133
2012-09-05T20:11:24.294968Z | client | DEBUG | Event: {'size': 31, 'timestamp': 1346875774.942425, 'basename': '133', 'uri': 'http://localhost:8888/resources/133', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.942425Z', 'changetype': 'CREATED', 'md5': '80fg2iyeTfR0+LlOoBDQIg=='}
2012-09-05T20:11:24.295090Z | client | INFO | created: http://localhost:8888/resources/134 -> /tmp/sm/resources/134
2012-09-05T20:11:24.298174Z | client | DEBUG | Event: {'size': 331, 'timestamp': 1346875774.942575, 'basename': '134', 'uri': 'http://localhost:8888/resources/134', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.942575Z', 'changetype': 'CREATED', 'md5': 'XSAD6+R31u2DNxfvF9j5Ig=='}
2012-09-05T20:11:24.298347Z | client | INFO | created: http://localhost:8888/resources/135 -> /tmp/sm/resources/135
2012-09-05T20:11:24.301420Z | client | DEBUG | Event: {'size': 716, 'timestamp': 1346875774.942735, 'basename': '135', 'uri': 'http://localhost:8888/resources/135', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.942735Z', 'changetype': 'CREATED', 'md5': '9Hdn/CsuUgyYTwzvcZkIqw=='}
2012-09-05T20:11:24.301573Z | client | INFO | created: http://localhost:8888/resources/136 -> /tmp/sm/resources/136
2012-09-05T20:11:24.304245Z | client | DEBUG | Event: {'size': 748, 'timestamp': 1346875774.942907, 'basename': '136', 'uri': 'http://localhost:8888/resources/136', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:34.942907Z', 'changetype': 'CREATED', 'md5': 'meOsxrN+tqlf8nXSMQdbNQ=='}
